,GAME_ID,TEAM_NAME,PTS,WINNER,DEFLECTIONS_RATIO,DEFLECTIONS_DIFF,CONTEST_RATE,CONTEST_RATE_2,CONTEST_RATE_3,CHARGES_RATIO,CHARGES_DIFF,SCREEN_AST_RATIO,SCREEN_AST_DIFF,SCREEN_AST_PTS_RATIO,SCREEN_AST_PTS_DIFF,LOOSE_RATIO,LOOSE_DIFFERENCE,OFF_BOXOUT_RATIO,OFF_BOXOUT_DIFF,DEF_BOXOUT_RATIO,DEF_BOXOUT_DIFF,BOXOUT_TM_RBS_RATIO,BOXOUT_TM_RBS_DIFF
76,21800039,Rockets,112,0,0.5217391304347826,1,0.7640449438202247,0.78125,0.72,0.0,-1,0.7058823529411765,7,0.7317073170731707,19,0.47368421052631576,-1,0.125,-6,0.46511627906976744,-3,0.43478260869565216,-3
77,21800039,Clippers,115,1,0.4782608695652174,-1,0.7415730337078652,0.6851851851851852,0.8285714285714286,1.0,1,0.29411764705882354,-7,0.2682926829268293,-19,0.5263157894736842,1,0.875,6,0.5348837209302325,3,0.5652173913043478,3
78,21800040,Magic,93,1,0.39285714285714285,-6,0.7802197802197802,0.7647058823529411,0.8,0.5,0,0.6666666666666666,3,0.6,4,0.5238095238095238,1,0.25,-6,0.48936170212765956,-1,0.5,0
79,21800040,Celtics,90,0,0.6071428571428571,6,0.7204301075268817,0.6724137931034483,0.8,0.5,0,0.3333333333333333,-3,0.4,-4,0.47619047619047616,-1,0.75,6,0.5106382978723404,1,0.5,0
80,21800041,Hornets,106,0,0.3076923076923077,-10,0.8160919540229885,0.7708333333333334,0.8717948717948718,1.0,1,0.6086956521739131,5,0.6037735849056604,11,0.4444444444444444,-3,0.7142857142857143,3,0.4418604651162791,-5,0.36363636363636365,-6
81,21800041,Raptors,127,1,0.6923076923076923,10,0.8350515463917526,0.8115942028985508,0.8928571428571429,0.0,-1,0.391304347826087,-5,0.39622641509433965,-11,0.5555555555555556,3,0.2857142857142857,-3,0.5581395348837209,5,0.6363636363636364,6
82,21800042,Knicks,113,0,0.45,-2,0.7604166666666666,0.7678571428571429,0.75,0.0,0,0.6842105263157895,7,0.6444444444444445,13,0.3684210526315789,-5,0.5555555555555556,1,0.543859649122807,5,0.5,0
83,21800042,Bucks,124,1,0.55,2,0.7878787878787878,0.7285714285714285,0.9310344827586207,0.0,0,0.3157894736842105,-7,0.35555555555555557,-13,0.631578947368421,5,0.4444444444444444,-1,0.45614035087719296,-5,0.5,0
84,21800043,Pacers,91,0,0.37037037037037035,-7,0.7529411764705882,0.75,0.7575757575757576,0.6666666666666666,1,0.8,6,0.782608695652174,13,0.4782608695652174,-1,0.6666666666666666,3,0.6226415094339622,13,0.696969696969697,13
85,21800043,Timberwolves,101,1,0.6296296296296297,7,0.7717391304347826,0.7424242424242424,0.8461538461538461,0.3333333333333333,-1,0.2,-6,0.21739130434782608,-13,0.5217391304347826,1,0.3333333333333333,-3,0.37735849056603776,-13,0.30303030303030304,-13
86,21800044,Bulls,109,0,0.5384615384615384,3,0.6989247311827957,0.6304347826086957,0.7659574468085106,0.0,-2,0.4375,-2,0.4634146341463415,-3,0.2777777777777778,-8,0.42857142857142855,-1,0.5370370370370371,4,0.4117647058823529,-6
87,21800044,Mavericks,115,1,0.46153846153846156,-3,0.675,0.6666666666666666,0.6956521739130435,1.0,2,0.5625,2,0.5365853658536586,3,0.7222222222222222,8,0.5714285714285714,1,0.46296296296296297,-4,0.5882352941176471,6
88,21800045,Grizzlies,92,1,0.4230769230769231,-4,0.6585365853658537,0.58,0.78125,0.0,-1,0.5,0,0.5,0,0.5909090909090909,4,0.1111111111111111,-7,0.6382978723404256,13,0.46153846153846156,-2
89,21800045,Jazz,84,0,0.5769230769230769,4,0.8333333333333334,0.8035714285714286,0.8928571428571429,1.0,1,0.5,0,0.5,0,0.4090909090909091,-4,0.8888888888888888,7,0.3617021276595745,-13,0.5384615384615384,2
90,21800046,Wizards,125,1,0.6956521739130435,9,0.6944444444444444,0.6811594202898551,0.717948717948718,1.0,3,0.5294117647058824,1,0.5526315789473685,4,0.5454545454545454,2,0.3333333333333333,-4,0.3673469387755102,-13,0.4,-7
91,21800046,Trail Blazers,124,0,0.30434782608695654,-9,0.7,0.6438356164383562,0.8108108108108109,0.0,-3,0.47058823529411764,-1,0.4473684210526316,-4,0.45454545454545453,-2,0.6666666666666666,4,0.6326530612244898,13,0.6,7
92,21800047,Suns,103,0,0.26666666666666666,-14,0.6022727272727273,0.45098039215686275,0.8108108108108109,0.0,0,0.3333333333333333,-6,0.2926829268292683,-17,0.42105263157894735,-3,0.875,6,0.39285714285714285,-12,0.5757575757575758,5
93,21800047,Warriors,123,1,0.7333333333333333,14,0.7209302325581395,0.6538461538461539,0.8235294117647058,0.0,0,0.6666666666666666,6,0.7073170731707317,17,0.5789473684210527,3,0.125,-6,0.6071428571428571,12,0.42424242424242425,-5
94,21800048,Spurs,143,1,0.64,7,0.6635514018691588,0.6764705882352942,0.6410256410256411,1.0,1,0.4444444444444444,-2,0.4634146341463415,-3,0.4782608695652174,-1,0.5,0,0.6818181818181818,24,0.5769230769230769,4
95,21800048,Lakers,142,0,0.36,-7,0.7010309278350515,0.6956521739130435,0.7142857142857143,0.0,-1,0.5555555555555556,2,0.5365853658536586,3,0.5217391304347826,1,0.5,0,0.3181818181818182,-24,0.4230769230769231,-4
96,21800049,76ers,132,0,0.48148148148148145,-1,0.7037037037037037,0.68,0.7575757575757576,0.0,0,0.5675675675675675,5,0.5813953488372093,14,0.4117647058823529,-3,0.6666666666666666,1,0.45161290322580644,-6,0.43243243243243246,-5
97,21800049,Pistons,133,1,0.5185185185185185,1,0.7653061224489796,0.7272727272727273,0.813953488372093,0.0,0,0.43243243243243246,-5,0.4186046511627907,-14,0.5882352941176471,3,0.3333333333333333,-1,0.5483870967741935,6,0.5675675675675675,5
98,21800050,Clippers,109,0,0.4722222222222222,-2,0.7419354838709677,0.7246376811594203,0.7916666666666666,0.0,0,0.6190476190476191,5,0.6190476190476191,10,0.35,-6,0.25,-4,0.41818181818181815,-9,0.4666666666666667,-2
99,21800050,Pelicans,116,1,0.5277777777777778,2,0.7701149425287356,0.8059701492537313,0.65,0.0,0,0.38095238095238093,-5,0.38095238095238093,-10,0.65,6,0.75,4,0.5818181818181818,9,0.5333333333333333,2
100,21800051,Kings,112,0,0.48148148148148145,-1,0.7171717171717171,0.6811594202898551,0.8,1.0,1,0.4666666666666667,-1,0.4375,-4,0.5217391304347826,1,0.5,0,0.4918032786885246,-1,0.39285714285714285,-6
101,21800051,Nuggets,126,1,0.5185185185185185,1,0.7790697674418605,0.7090909090909091,0.9032258064516129,0.0,-1,0.5333333333333333,1,0.5625,4,0.4782608695652174,-1,0.5,0,0.5081967213114754,1,0.6071428571428571,6
102,21800052,Mavericks,104,0,0.5,0,0.7142857142857143,0.6415094339622641,0.8157894736842105,0.5,0,0.5454545454545454,2,0.56,6,0.5416666666666666,2,0.6666666666666666,1,0.6226415094339622,13,0.5517241379310345,3
